"candidate_id","candidate_name","email","experience_years","education","location_id","work_authorization_id","source_id","applied_date","candidate_status","total_applications","rejected_applications","withdrawn_applications","hired_applications","total_offers","total_placements","average_offered_salary","candidate_age_days"
9604,Robert Mishra,robert.mishra9603@hotmail.com,9,BCA,8,7,5,2026-03-31,Rejected,7,1,0,1,2,2,127000.00,135
9412,Rahul Hall,rahul.hall9411@hotmail.com,12,Bachelor's Degree,8,1,6,2025-11-08,Active,6,0,0,0,2,2,159500.00,278
2856,Paul Allen,paul.allen2855@outlook.com,7,B.E.,9,7,6,2025-12-23,Withdrawn,6,0,0,1,2,2,131500.00,233
9396,Laura Garcia,laura.garcia9395@outlook.com,9,MS Computer Science,11,2,1,2026-05-07,Active,5,0,0,0,2,2,136000.00,98
6958,Arjun Wright,arjun.wright6957@outlook.com,6,MCA,20,5,5,2025-08-25,Rejected,5,0,0,0,2,2,114000.00,353
3867,Robert Kumar,robert.kumar3866@gmail.com,4,B.E.,20,5,5,2025-03-26,Screening,4,0,0,1,2,2,96500.00,505
1401,Karan Davis,karan.davis1400@hotmail.com,2,MS Computer Science,7,6,5,2025-01-29,Screening,3,0,0,0,2,2,74000.00,561
2280,Vikram Mehta,vikram.mehta2279@outlook.com,7,MCA,16,3,7,2025-10-06,Screening,7,0,0,0,2,1,109000.00,311
4217,Mark Harris,mark.harris4216@gmail.com,6,B.Tech,2,6,4,2025-08-02,Active,5,0,0,0,2,1,144000.00,376
501,Daniel Harris,daniel.harris500@outlook.com,5,MCA,1,6,4,2025-07-13,Rejected,5,0,0,1,2,1,91000.00,396
7890,Vikram Wright,vikram.wright7889@yahoo.com,12,MS Computer Science,9,5,9,2026-03-12,Offer,4,0,0,0,2,1,163500.00,154
8278,Ashley Johnson,ashley.johnson8277@gmail.com,4,MS Computer Science,14,7,1,2025-05-29,Active,3,0,0,0,2,1,95500.00,441
5008,Mark Miller,mark.miller5007@gmail.com,8,Master's Degree,17,4,7,2025-03-15,Active,2,0,0,0,2,1,156500.00,516
5167,Jessica Anderson,jessica.anderson5166@outlook.com,11,MBA,5,5,6,2025-06-02,Active,10,0,0,0,1,1,187000.00,437
6458,Neha Verma,neha.verma6457@outlook.com,12,BCA,21,7,9,2026-05-18,Withdrawn,10,1,0,2,1,1,171000.00,87
7370,Michelle Lewis,michelle.lewis7369@hotmail.com,6,MBA,21,3,3,2025-05-02,Rejected,10,0,0,0,1,1,155000.00,468
2590,Matthew Garcia,matthew.garcia2589@hotmail.com,4,MS,9,1,9,2025-02-02,Rejected,9,0,1,2,1,1,77000.00,557
606,John Mishra,john.mishra605@hotmail.com,5,Master's Degree,4,2,4,2026-06-21,Screening,8,2,0,2,1,1,106000.00,53
4016,Daniel Kumar,daniel.kumar4015@gmail.com,6,MS,16,2,4,2026-07-24,Rejected,8,0,0,1,1,1,119000.00,20
7194,Mark Young,mark.young7193@gmail.com,12,M.Tech,11,3,1,2025-04-17,Rejected,8,2,2,1,1,1,186000.00,483
499,Kevin Allen,kevin.allen498@outlook.com,12,Master's Degree,2,1,1,2025-11-28,Rejected,8,1,0,0,1,1,180000.00,258
918,Rahul Harris,rahul.harris917@gmail.com,15,M.Tech,8,7,4,2025-11-13,Active,7,0,0,2,1,1,140000.00,273
6909,Karan Mishra,karan.mishra6908@gmail.com,12,MS Computer Science,4,7,2,2025-11-17,Active,7,0,1,0,1,1,190000.00,269
4595,Charles Kumar,charles.kumar4594@yahoo.com,4,MS,2,3,7,2025-03-02,Screening,7,0,0,0,1,1,107000.00,529
7585,Stephanie Allen,stephanie.allen7584@outlook.com,15,M.Tech,1,7,5,2026-03-03,Interview,7,0,0,0,1,1,135000.00,163
5582,Ananya Thomas,ananya.thomas5581@yahoo.com,6,BS Computer Science,13,3,5,2026-06-05,Screening,7,1,0,0,1,1,103000.00,69
4681,Charles Lee,charles.lee4680@gmail.com,11,B.Tech,10,7,2,2026-04-03,Active,7,1,1,1,1,1,140000.00,132
7977,Sarah Walker,sarah.walker7976@hotmail.com,7,Master's Degree,14,1,3,2026-02-17,Active,7,1,0,0,1,1,128000.00,177
7153,Michael Taylor,michael.taylor7152@yahoo.com,3,BCA,9,4,1,2025-03-06,Hired,7,0,0,0,1,1,89000.00,525
